iter	Passed	Remaining
380	2225	3616
381	2226	3602
382	2238	3606
383	2251	3611
384	2265	3618
385	2267	3606
386	2274	3603
387	2276	3590
388	2279	3580
389	2294	3589
390	2299	3581
391	2314	3589
392	2331	3601
393	2347	3611
394	2353	3604
395	2375	3622
396	2418	3673
397	2424	3667
398	2458	3702
399	2469	3704
400	2495	3727
401	2496	3714
402	2534	3755
403	2587	3817
404	2602	3823
405	2631	3850
406	2649	3860
407	2650	3846
408	2672	3861
409	2691	3873
410	2706	3878
411	2708	3865
412	2742	3898
413	2781	3936
414	2782	3921
415	2798	3929
416	2829	3955
417	2833	3944
418	2843	3943
419	2848	3934
420	2858	3931
421	2859	3916
422	2866	3909
423	2867	3895
424	2873	3888
425	2886	3889
426	2914	3911
427	2916	3897
428	2935	3907
429	2960	3924
430	2970	3922
431	3006	3952
432	3052	3996
433	3068	4001
434	3094	4019
435	3107	4019
436	3164	4076
437	3167	4064
438	3186	4072
439	3187	4056
440	3213	4072
441	3238	4088
442	3250	4087
443	3275	4102
444	3285	4097
445	3298	4097
446	3300	4083
447	3320	4091
448	3337	4095
449	3372	4122
450	3395	4133
451	3396	4117
452	3398	4103
453	3420	4113
454	3422	4098
455	3423	4084
456	3442	4090
457	3464	4100
458	3486	4108
459	3512	4123
460	3530	4128
461	3534	4115
462	3562	4131
463	3569	4123
464	3593	4134
465	3606	4132
466	3617	4128
467	3624	4119
468	3646	4128
469	3669	4137
470	3670	4122
471	3684	4122
472	3725	4150
473	3747	4158
474	3778	4176
475	3815	4200
476	3820	4188
477	3848	4202
478	3872	4212
479	3878	4201
480	3883	4189
481	3884	4174
482	3896	4170
483	3919	4179
484	3935	4179
485	3945	4173
486	3966	4178
487	3970	4165
488	3997	4177
489	4013	4177
490	4033	4180
491	4043	4174
492	4043	4158
493	4052	4150
494	4060	4142
495	4061	4127
496	4062	4111
497	4076	4109
498	4077	4093
499	4089	4089
500	4095	4079
501	4115	4082
502	4117	4068
503	4119	4054
504	4134	4052
505	4151	4053
506	4152	4037
507	4165	4034
508	4169	4021
509	4174	4010
510	4195	4014
511	4213	4016
512	4221	4007
513	4228	3997
514	4231	3984
515	4250	3987
516	4265	3985
517	4287	3989
518	4308	3992
519	4310	3978
520	4326	3977
521	4346	3979
522	4354	3971
523	4355	3956
524	4368	3952
525	4369	3937
526	4370	3922
527	4390	3924
528	4390	3909
529	4410	3911
530	4411	3896
531	4428	3895
532	4431	3882
533	4431	3867
534	4434	3854
535	4444	3847
536	4461	3846
537	4478	3846
538	4497	3846
539	4499	3832
540	4513	3829
541	4520	3820
542	4544	3824
543	4561	3823
544	4576	3820
545	4596	3822
546	4604	3813
547	4620	3811
548	4623	3797
549	4631	3789
550	4640	3781
551	4648	3772
552	4662	3768
553	4680	3768
554	4681	3753
555	4699	3752
556	4714	3749
557	4718	3737
558	4737	3737
559	4756	3737
560	4757	3722
561	4772	3719
562	4773	3704
563	4783	3697
564	4784	3683
565	4787	3671
566	4802	3667
567	4821	3667
568	4831	3659
569	4834	3646
570	4834	3632
571	4835	3618
572	4843	3609
573	4858	3605
574	4859	3591
575	4875	3588
576	4880	3578
577	4898	3576
578	4903	3565
579	4904	3551
580	4921	3549
581	4948	3554
582	4965	3551
583	4987	3552
584	4990	3540
585	5004	3535
586	5014	3527
587	5017	3515
588	5021	3503
589	5026	3493
590	5029	3480
591	5037	3472
592	5053	3468
593	5071	3466
594	5087	3462
595	5095	3453
596	5096	3440
597	5104	3431
598	5108	3419
599	5124	3416
600	5141	3413
601	5141	3399
602	5156	3395
603	5172	3391
604	5177	3380
605	5178	3366
606	5182	3355
607	5196	3350
608	5200	3338
609	5215	3334
610	5217	3321
611	5234	3318
612	5249	3313
613	5256	3304
614	5259	3292
615	5261	3280
616	5263	3267
617	5264	3254
618	5270	3243
619	5275	3233
620	5276	3220
621	5276	3206
622	5277	3193
623	5278	3180
624	5293	3175
625	5308	3171
626	5309	3158
627	5314	3147
628	5314	3134
629	5331	3130
630	5348	3127
631	5361	3122
632	5364	3110
633	5381	3106
634	5395	3101
635	5414	3098
636	5430	3094
637	5438	3085
638	5452	3080
639	5460	3071
640	5471	3064
641	5477	3054
642	5491	3049
643	5507	3044
644	5512	3034
645	5528	3029
646	5529	3017
647	5545	3012
648	5561	3007
649	5563	2995
650	5572	2987
651	5576	2976
652	5590	2970
653	5604	2965
654	5622	2961
655	5627	2951
656	5629	2939
657	5637	2930
658	5652	2924
659	5663	2917
660	5669	2907
661	5684	2902
662	5687	2890
663	5688	2878
664	5703	2873
665	5729	2873
666	5732	2862
667	5734	2850
668	5735	2837
669	5746	2830
670	5750	2819
671	5754	2808
672	5773	2805
673	5774	2793
674	5777	2781
675	5779	2770
676	5800	2767
677	5811	2760
678	5814	2748
679	5825	2741
680	5840	2736
681	5842	2724
682	5861	2720
683	5876	2714
684	5890	2708
685	5894	2698
686	5896	2686
687	5896	2673
688	5915	2670
689	5930	2664
690	5945	2658
691	5945	2646
692	5965	2642
693	5979	2636
694	5993	2630
695	5994	2618
696	6012	2613
697	6029	2608
698	6029	2596
699	6030	2584
700	6034	2573
701	6041	2564
702	6045	2554
703	6050	2544
704	6067	2539
705	6068	2527
706	6072	2516
707	6080	2507
708	6095	2501
709	6114	2497
710	6119	2487
711	6128	2478
712	6142	2472
713	6144	2461
714	6162	2456
715	6176	2449
716	6190	2443
717	6200	2435
718	6215	2429
719	6229	2422
720	6234	2412
721	6238	2401
722	6255	2396
723	6256	2385
724	6266	2376
725	6280	2370
726	6298	2365
727	6307	2356
728	6310	2345
729	6324	2339
730	6338	2332
731	6355	2326
732	6369	2320
733	6383	2313
734	6397	2306
735	6413	2300
736	6414	2289
737	6427	2281
738	6431	2271
739	6431	2259
740	6439	2250
741	6457	2245
742	6464	2235
743	6464	2224
744	6468	2214
745	6469	2202
746	6470	2191
747	6474	2181
748	6488	2174
749	6493	2164
750	6508	2157
751	6516	2149
752	6531	2142
753	6545	2135
754	6546	2124
755	6561	2117
756	6567	2108
757	6568	2096
758	6575	2087
759	6579	2077
760	6594	2071
761	6609	2064
762	6611	2053
763	6625	2046
764	6627	2035
765	6640	2028
766	6658	2022
767	6659	2011
768	6663	2001
769	6677	1994
770	6691	1987
771	6707	1981
772	6724	1974
773	6725	1963
774	6740	1956
775	6741	1946
776	6756	1939
777	6769	1931
778	6773	1921
779	6775	1910
780	6790	1904
781	6805	1897
782	6809	1887
783	6811	1876
784	6824	1869
785	6838	1861
786	6854	1855
787	6867	1847
788	6881	1840
789	6896	1833
790	6910	1825
791	6912	1815
792	6925	1807
793	6926	1796
794	6933	1787
795	6936	1777
796	6943	1768
797	6947	1758
798	6950	1748
799	6952	1738
800	6959	1729
801	6961	1718
802	6974	1711
803	6989	1704
804	6991	1693
805	7006	1686
806	7020	1678
807	7026	1669
808	7034	1660
809	7035	1650
810	7036	1639
811	7039	1629
812	7052	1622
813	7066	1614
814	7070	1604
815	7072	1594
816	7087	1587
817	7095	1578
818	7096	1568
819	7103	1559
820	7117	1551
821	7133	1544
822	7138	1535
823	7152	1527
824	7165	1519
825	7167	1509
826	7183	1502
827	7191	1493
828	7193	1483
829	7195	1473
830	7196	1463
831	7203	1454
832	7203	1444
833	7216	1436
834	7220	1426
835	7220	1416
836	7228	1407
837	7230	1397
838	7233	1388
839	7249	1380
840	7256	1371
841	7258	1362
842	7273	1354
843	7288	1347
844	7302	1339
845	7315	1331
846	7329	1323
847	7334	1314
848	7335	1304
849	7338	1294
850	7338	1284
851	7351	1277
852	7364	1269
853	7377	1261
854	7383	1252
855	7383	1242
856	7385	1232
857	7393	1223
858	7393	1213
859	7400	1204
860	7412	1196
861	7414	1186
862	7415	1177
863	7418	1167
864	7419	1157
865	7436	1150
866	7449	1142
867	7456	1133
868	7460	1124
869	7466	1115
870	7481	1107
871	7494	1100
872	7509	1092
873	7511	1082
874	7526	1075
875	7534	1066
876	7538	1057
877	7551	1049
878	7553	1039
879	7567	1031
880	7583	1024
881	7596	1016
882	7603	1007
883	7603	997
884	7617	989
885	7625	981
886	7629	972
887	7644	964
888	7657	956
889	7671	948
890	7685	940
891	7688	930
892	7700	922
893	7713	914
894	7714	904
895	7730	897
896	7743	889
897	7758	881
898	7774	873
899	7781	864
900	7784	855
901	7788	846
902	7801	838
903	7808	829
904	7823	821
905	7839	813
906	7852	805
907	7866	797
908	7881	788
909	7888	780
910	7888	770
911	7890	761
912	7903	753
913	7917	745
914	7933	736
915	7945	728
916	7958	720
917	7960	711
918	7964	701
919	7979	693
920	7993	685
921	7997	676
922	8010	668
923	8016	659
924	8032	651
925	8045	642
926	8047	633
927	8060	625
928	8074	617
929	8089	608
930	8103	600
931	8117	592
932	8131	583
933	8143	575
934	8145	566
935	8160	557
936	8176	549
937	8190	541
938	8192	532
939	8205	523
940	8211	514
941	8225	506
942	8226	497
943	8232	488
944	8236	479
945	8250	470
946	8256	462
947	8272	453
948	8279	444
949	8286	436
950	8289	427
951	8302	418
952	8318	410
953	8331	401
954	8338	392
955	8338	383
956	8345	374
957	8357	366
958	8358	357
959	8373	348
960	8381	340
961	8394	331
962	8407	323
963	8425	314
964	8431	305
965	8444	297
966	8450	288
967	8454	279
968	8457	270
969	8459	261
970	8473	253
971	8487	244
972	8499	235
973	8515	227
974	8516	218
975	8529	209
976	8536	200
977	8549	192
978	8556	183
979	8561	174
980	8574	166
981	8587	157
982	8599	148
983	8613	140
984	8614	131
985	8621	122
986	8633	113
987	8648	105
988	8663	96
989	8677	87
990	8690	78
991	8704	70
992	8712	61
993	8724	52
994	8738	43
995	8752	35
996	8766	26
997	8778	17
998	8791	8
999	8798	0
