iter	Logloss
0	0.6901420292
1	0.6859115299
2	0.6827445783
3	0.6786226975
4	0.6750578127
5	0.6720425455
6	0.6688146089
7	0.6655332164
8	0.6613634009
9	0.65814214
10	0.6542771992
11	0.6511643058
12	0.647443671
13	0.6442673834
14	0.6404979605
15	0.636933929
16	0.6336700038
17	0.6298036073
18	0.626538628
19	0.6231344123
20	0.6201259211
21	0.6172907478
22	0.6136573992
23	0.6111996299
24	0.608523419
25	0.6058127755
26	0.6020121323
27	0.5989173086
28	0.5956350126
29	0.5927598351
30	0.5897037606
31	0.5861900731
32	0.58346397
33	0.5809563085
34	0.5782076183
35	0.575650165
36	0.5726185849
37	0.5691913304
38	0.5664100647
39	0.5631635566
40	0.5607989462
41	0.5583599492
42	0.5558825041
43	0.5531949495
44	0.5504590085
45	0.5483203185
46	0.5452839701
47	0.5425973691
48	0.5400130121
49	0.5373929676
50	0.5355464534
51	0.5333603307
52	0.5310732189
53	0.528286181
54	0.5262765884
55	0.5242572082
56	0.5224231921
57	0.5193037736
58	0.5167464206
59	0.5147300519
60	0.5120653855
61	0.5100338584
62	0.5074502543
63	0.5055203187
64	0.5033636595
65	0.5011897338
66	0.5005350113
67	0.4981053001
68	0.4962168242
69	0.4943705107
70	0.4920847039
71	0.4899085195
72	0.4878926528
73	0.4854865827
74	0.4832589501
75	0.4812611028
76	0.4787682985
77	0.4766635895
78	0.475928407
79	0.4739233318
80	0.472075111
81	0.470334304
82	0.4678521909
83	0.4655896237
84	0.4637610787
85	0.4620137466
86	0.460133402
87	0.4578977886
88	0.4562219319
89	0.454548384
90	0.4526794333
91	0.4507586329
92	0.4490075362
93	0.4470860833
94	0.4453624424
95	0.4432281695
96	0.4415698302
97	0.4395017122
98	0.437742434
99	0.4356844049
100	0.434121684
101	0.432361653
102	0.4308204651
103	0.4293571773
104	0.4281052539
105	0.4263496399
106	0.4248407264
107	0.423213256
108	0.4223786404
109	0.4206987682
110	0.4189871738
111	0.4171436962
112	0.4153437113
113	0.4137727587
114	0.4122513721
115	0.4102405247
116	0.4087491286
117	0.4079678686
118	0.4062285674
119	0.4046509893
120	0.4030456041
121	0.4013256776
122	0.3997779394
123	0.3982026953
124	0.3966891389
125	0.3949324457
126	0.3933903544
127	0.3918925336
128	0.3903859289
129	0.3894790097
130	0.388010527
131	0.3862954692
132	0.3849990242
133	0.3830468529
134	0.3815965652
135	0.379832318
136	0.3784817143
137	0.3768162978
138	0.3755607856
139	0.3741129323
140	0.3726436213
141	0.3717628529
142	0.3703053123
143	0.3690277903
144	0.3678005118
145	0.366532125
146	0.3652222282
147	0.3634548689
148	0.3623907441
149	0.3612001821
150	0.3598161748
151	0.3584985231
152	0.3571850877
153	0.3557330182
154	0.3542478963
155	0.3530879272
156	0.3520194104
157	0.3507544869
158	0.3501221757
159	0.3488592851
160	0.3475608073
161	0.3464515586
162	0.3451026615
163	0.3438270719
164	0.3427666614
165	0.3417149343
166	0.3405048471
167	0.3392722481
168	0.3375263716
169	0.3362860429
170	0.3352770554
171	0.3343822078
172	0.3333802976
